SET B
4)select r.* from Route r ,booked_ticket where agent_id!='null' and booked_ticket.route_id=r.route_id;
+----------+-----------------------------+----------+------------------------+---------------------------------------+
| route_id | route_name                  | distance | time_taken             | operating_days                        |
+----------+-----------------------------+----------+------------------------+---------------------------------------+
| R010     | Mumbai - Goa                |      588 |  6 hours               | Every day                             |
| R010     | Mumbai - Goa                |      588 |  6 hours               | Every day                             |
| R010     | Mumbai - Goa                |      588 |  6 hours               | Every day                             |
| R010     | Mumbai - Goa                |      588 |  6 hours               | Every day                             |
| R010     | Mumbai - Goa                |      588 |  6 hours               | Every day                             |
| R010     | Mumbai - Goa                |      588 |  6 hours               | Every day                             |
| R010     | Mumbai - Goa                |      588 |  6 hours               | Every day                             |
| R020     | Goa-Mumbai                  |      588 |  6 hours               | Every day                             |
| R006     | Bhopal-Delhi                |      700 | 7 hours and 45 minutes | 6 days in a week but not on Saturdays |
| R006     | Bhopal-Delhi                |      700 | 7 hours and 45 minutes | 6 days in a week but not on Saturdays |
| R006     | Bhopal-Delhi                |      700 | 7 hours and 45 minutes | 6 days in a week but not on Saturdays |
| R006     | Bhopal-Delhi                |      700 | 7 hours and 45 minutes | 6 days in a week but not on Saturdays |
| R020     | Goa-Mumbai                  |      588 |  6 hours               | Every day                             |
| R001     | Mumbai Central- Gandhinagar |      548 | 5 hours 40 minutes     | 6 days a week except Sundays          |
| R001     | Mumbai Central- Gandhinagar |      548 | 5 hours 40 minutes     | 6 days a week except Sundays          |
| R001     | Mumbai Central- Gandhinagar |      548 | 5 hours 40 minutes     | 6 days a week except Sundays          |
| R001     | Mumbai Central- Gandhinagar |      548 | 5 hours 40 minutes     | 6 days a week except Sundays          |
| R001     | Mumbai Central- Gandhinagar |      548 | 5 hours 40 minutes     | 6 days a week except Sundays          |
| R002     | New Delhi - Himachal        |      412 | 6 hours 10 minutes     | 6 days a week except Thursdays        |
| R002     | New Delhi - Himachal        |      412 | 6 hours 10 minutes     | 6 days a week except Thursdays        |
| R001     | Mumbai Central- Gandhinagar |      548 | 5 hours 40 minutes     | 6 days a week except Sundays          |
| R020     | Goa-Mumbai                  |      588 |  6 hours               | Every day                             |
| R010     | Mumbai - Goa                |      588 |  6 hours               | Every day                             |
| R002     | New Delhi - Himachal        |      412 | 6 hours 10 minutes     | 6 days a week except Thursdays        |
| R009     | Bhopal - Indore             |      246 | 3 hours                | Every day                             |
| R010     | Mumbai - Goa                |      588 |  6 hours               | Every day                             |
| R010     | Mumbai - Goa                |      588 |  6 hours               | Every day                             |
| R010     | Mumbai - Goa                |      588 |  6 hours               | Every day                             |
| R010     | Mumbai - Goa                |      588 |  6 hours               | Every day                             |
| R010     | Mumbai - Goa                |      588 |  6 hours               | Every day                             |
| R020     | Goa-Mumbai                  |      588 |  6 hours               | Every day                             |
| R006     | Bhopal-Delhi                |      700 | 7 hours and 45 minutes | 6 days in a week but not on Saturdays |
| R006     | Bhopal-Delhi                |      700 | 7 hours and 45 minutes | 6 days in a week but not on Saturdays |
| R006     | Bhopal-Delhi                |      700 | 7 hours and 45 minutes | 6 days in a week but not on Saturdays |
| R006     | Bhopal-Delhi                |      700 | 7 hours and 45 minutes | 6 days in a week but not on Saturdays |
| R020     | Goa-Mumbai                  |      588 |  6 hours               | Every day                             |
| R001     | Mumbai Central- Gandhinagar |      548 | 5 hours 40 minutes     | 6 days a week except Sundays          |
| R010     | Mumbai - Goa                |      588 |  6 hours               | Every day                             |
| R020     | Goa-Mumbai                  |      588 |  6 hours               | Every day                             |
| R010     | Mumbai - Goa                |      588 |  6 hours               | Every day                             |
| R020     | Goa-Mumbai                  |      588 |  6 hours               | Every day                             |
| R002     | New Delhi - Himachal        |      412 | 6 hours 10 minutes     | 6 days a week except Thursdays        |
| R020     | Goa-Mumbai                  |      588 |  6 hours               | Every day                             |
| R010     | Mumbai - Goa                |      588 |  6 hours               | Every day                             |
| R008     | Dharwad - Bengaluru         |      432 |  5 hours               | "Monday                               |
| R008     | Dharwad - Bengaluru         |      432 |  5 hours               | "Monday                               |
| R008     | Dharwad - Bengaluru         |      432 |  5 hours               | "Monday                               |
| R020     | Goa-Mumbai                  |      588 |  6 hours               | Every day                             |
| R020     | Goa-Mumbai                  |      588 |  6 hours               | Every day                             |
| R020     | Goa-Mumbai                  |      588 |  6 hours               | Every day                             |
| R020     | Goa-Mumbai                  |      588 |  6 hours               | Every day                             |
| R020     | Goa-Mumbai                  |      588 |  6 hours               | Every day                             |
| R020     | Goa-Mumbai                  |      588 |  6 hours               | Every day                             |
| R020     | Goa-Mumbai                  |      588 |  6 hours               | Every day                             |
| R020     | Goa-Mumbai                  |      588 |  6 hours               | Every day                             |
| R020     | Goa-Mumbai                  |      588 |  6 hours               | Every day                             |
| R020     | Goa-Mumbai                  |      588 |  6 hours               | Every day                             |
| R020     | Goa-Mumbai                  |      588 |  6 hours               | Every day                             |
+----------+-----------------------------+----------+------------------------+---------------------------------------+
58 rows in set (0.00 sec)



Q1) SELECT      s.*,     dr.*  FROM      schedule s,driver dr,     DriverRoster d where s.date = d.date  and dr.driver_id=d.driver_id  and    s.date = '2023-10-10' AND d.remark = 'Main Driver' ORDER BY      s.depart_time;
+-------------+------------+----------+----------+--------------+-------------+------------+-----------+---------------+------------+-------------------+
| schedule_id | station_id | route_id | train_id | arrival_time | depart_time | date       | driver_id | driver_name   | phone      | city_of_residance |
+-------------+------------+----------+----------+--------------+-------------+------------+-----------+---------------+------------+-------------------+
| Sc39        | S32        |  R005    |  t9      | 21:35:00     | 00:00:00    | 2023-10-10 | d6        |  Pooja Reddy  | 2147483647 |        |ad
| Sc39        | S32        |  R005    |  t9      | 21:35:00     | 00:00:00    | 2023-10-10 | d4        |  Aarti Patel  | 2147483647 |          |
| Sc39        | S32        |  R005    |  t9      | 21:35:00     | 00:00:00    | 2023-10-10 | d3        |  Rahul Gupta  | 2147483647 |        |re
| Sc39        | S32        |  R005    |  t9      | 21:35:00     | 00:00:00    | 2023-10-10 | d2        |  Priya Sharma | 2147483647 |           |
| Sc44        | S29        |  R006    |  t6      | 20:45:00     | 00:00:00    | 2023-10-10 | d6        |  Pooja Reddy  | 2147483647 |        |ad
| Sc44        | S29        |  R006    |  t6      | 20:45:00     | 00:00:00    | 2023-10-10 | d4        |  Aarti Patel  | 2147483647 |          |
| Sc44        | S29        |  R006    |  t6      | 20:45:00     | 00:00:00    | 2023-10-10 | d3        |  Rahul Gupta  | 2147483647 |        |re
| Sc44        | S29        |  R006    |  t6      | 20:45:00     | 00:00:00    | 2023-10-10 | d2        |  Priya Sharma | 2147483647 |           |
| Sc51        | S7         |  R001    |  t7      | 11:40:00     | 00:00:00    | 2023-10-10 | d6        |  Pooja Reddy  | 2147483647 |        |ad
| Sc51        | S7         |  R001    |  t7      | 11:40:00     | 00:00:00    | 2023-10-10 | d4        |  Aarti Patel  | 2147483647 |          |
| Sc51        | S7         |  R001    |  t7      | 11:40:00     | 00:00:00    | 2023-10-10 | d3        |  Rahul Gupta  | 2147483647 |        |re
| Sc51        | S7         |  R001    |  t7      | 11:40:00     | 00:00:00    | 2023-10-10 | d2        |  Priya Sharma | 2147483647 |           |
| Sc57        | S13        |  R002    |  t1      | 12:10:00     | 00:00:00    | 2023-10-10 | d6        |  Pooja Reddy  | 2147483647 |        |ad
| Sc57        | S13        |  R002    |  t1      | 12:10:00     | 00:00:00    | 2023-10-10 | d4        |  Aarti Patel  | 2147483647 |          |
| Sc57        | S13        |  R002    |  t1      | 12:10:00     | 00:00:00    | 2023-10-10 | d3        |  Rahul Gupta  | 2147483647 |        |re
| Sc57        | S13        |  R002    |  t1      | 12:10:00     | 00:00:00    | 2023-10-10 | d2        |  Priya Sharma | 2147483647 |           |
| Sc61        | S42        |  R009    |  t5      | 13:00:00     | 00:00:00    | 2023-10-10 | d6        |  Pooja Reddy  | 2147483647 |        |ad
| Sc61        | S42        |  R009    |  t5      | 13:00:00     | 00:00:00    | 2023-10-10 | d4        |  Aarti Patel  | 2147483647 |          |
| Sc61        | S42        |  R009    |  t5      | 13:00:00     | 00:00:00    | 2023-10-10 | d3        |  Rahul Gupta  | 2147483647 |        |re
| Sc61        | S42        |  R009    |  t5      | 13:00:00     | 00:00:00    | 2023-10-10 | d2        |  Priya Sharma | 2147483647 |           |
| Sc45        | S1         |  R001    |  t7      | 00:00:00     | 06:00:00    | 2023-10-10 | d6        |  Pooja Reddy  | 2147483647 |        |ad
| Sc45        | S1         |  R001    |  t7      | 00:00:00     | 06:00:00    | 2023-10-10 | d4        |  Aarti Patel  | 2147483647 |          |
| Sc45        | S1         |  R001    |  t7      | 00:00:00     | 06:00:00    | 2023-10-10 | d3        |  Rahul Gupta  | 2147483647 |        |re
| Sc45        | S1         |  R001    |  t7      | 00:00:00     | 06:00:00    | 2023-10-10 | d2        |  Priya Sharma | 2147483647 |           |
| Sc52        | S8         |  R002    |  t1      | 00:00:00     | 06:00:00    | 2023-10-10 | d6        |  Pooja Reddy  | 2147483647 |        |ad
| Sc52        | S8         |  R002    |  t1      | 00:00:00     | 06:00:00    | 2023-10-10 | d4        |  Aarti Patel  | 2147483647 |          |
| Sc52        | S8         |  R002    |  t1      | 00:00:00     | 06:00:00    | 2023-10-10 | d3        |  Rahul Gupta  | 2147483647 |        |re
| Sc52        | S8         |  R002    |  t1      | 00:00:00     | 06:00:00    | 2023-10-10 | d2        |  Priya Sharma | 2147483647 |           |
| Sc46        | S2         |  R001    |  t7      | 06:45:00     | 06:55:00    | 2023-10-10 | d6        |  Pooja Reddy  | 2147483647 |        |ad
| Sc46        | S2         |  R001    |  t7      | 06:45:00     | 06:55:00    | 2023-10-10 | d4        |  Aarti Patel  | 2147483647 |          |
| Sc46        | S2         |  R001    |  t7      | 06:45:00     | 06:55:00    | 2023-10-10 | d3        |  Rahul Gupta  | 2147483647 |        |re
| Sc46        | S2         |  R001    |  t7      | 06:45:00     | 06:55:00    | 2023-10-10 | d2        |  Priya Sharma | 2147483647 |           |
| Sc53        | S9         |  R002    |  t1      | 07:00:00     | 07:10:00    | 2023-10-10 | d6        |  Pooja Reddy  | 2147483647 |        |ad
| Sc53        | S9         |  R002    |  t1      | 07:00:00     | 07:10:00    | 2023-10-10 | d4        |  Aarti Patel  | 2147483647 |          |
| Sc53        | S9         |  R002    |  t1      | 07:00:00     | 07:10:00    | 2023-10-10 | d3        |  Rahul Gupta  | 2147483647 |        |re
